destination,rating,text,month,translation_status,failure_reason
Perhentian Island Resort,1.0,"We have never stayed in accommodation that was this dirty. The location itself is beautiful, and thankfully, the air conditioning worked.

Only Mimi speaks English; unfortunately, no one else does. Whenever we wanted to order something, we had to use hand gestures and try to explain what we wanted. The food is not recommended either, so we ended up walking to a resort further down the beach to eat.

There were insects everywhere in our room, including biting ants, mosquitoes, and spiders. The bathroom had clumps of hair left behind by previous guests, and judging by the overall condition of the room, it was clear that it had not been properly cleaned.

The water smelled strongly of sewage, which was extremely unpleasant.

The beach loungers are made of bare wood with no cushions, making them very uncomfortable to lie on.

Overall, this place is far too expensive for what you get. The property is in serious need of renovation and, in our opinion, should either be properly renovated or closed until it meets basic standards.

We also did not feel particularly welcomed by the staff. Most of the time, the staff were either sleeping in the hammocks or sitting on their phones. If you decide to stay here, be prepared for very limited English communication and a lack of service.

The location is beautiful, and the air conditioning worked, but unfortunately, those are the only positives we can mention. For the price, we expected much more.",2026-09,not_applicable,
Perhentian Island Resort,1.0,"Our stay at Pir Perhentian was unfortunately a great disappointment.
The hotel nevertheless has a real asset: a very beautiful privatized beach, in a beautiful setting.
However, the quality of the room and especially its level of cleanliness are far from what we could expect.
As soon as we arrived, we were confronted with a strong smell of nausea and sewage in the bathroom, which was also far from being clean. The glass was obviously not cleaned and it gave a general impression of lack of maintenance.
The towels provided were also dirty and had yellow spots, which is particularly disappointing and not acceptable for a hotel establishment.
But the most unpleasant thing was to find cockroaches in the room during the night at 4am, one of which appeared on our bedside table as we slept. This kind of situation is particularly stressful and has prevented us from sleeping calmly but from enjoying the full end of our stay. I really didn't feel comfortable in our room at all and didn't take any pleasure in being in it my only desire was to get out of it and a hurry that the stay this ended. We concluded that it was useless to complain at the reception in view of all the previous negative opinions over several years and that nothing had changed or that no refund had been made.",2026-09,translated_argos,
Perhentian Island Resort,3.0,"Pretty island, Pastu sidai customer kat",2026-09,translated_argos,
Perhentian Island Resort,5.0,The best holiday,2026-09,not_applicable,
Perhentian Island Resort,5.0,"An Amazing Family Getaway at Pulau Perhentian Resort!

We had such a wonderful stay at Pulau Perhentian Resort with our children, and it was truly an unforgettable family holiday! 🏝️💙

The beach was absolutely breathtaking crystal-clear turquoise water, incredibly clean surroundings, and beautiful white sand that sparkles under the sunshine. It felt like a little piece of paradise!

Our room was comfortable, clean and cozy, making it a perfect place to relax after a fun day at the beach. The staff were also very friendly, helpful and welcoming, which made our stay even more enjoyable.

And of course, the food deserves a special mention! 🍽️ Everything we tried was delicious, and we really enjoyed our meals during our stay.

Most importantly, the resort is very family-friendly, and our children had such a great time. Seeing them enjoy the beautiful beach and island made the trip even more special for us.

Thank you Pulau Perhentian Resort for the wonderful hospitality and beautiful memories. We truly enjoyed our stay and would definitely love to come back again! 🌊☀️🤍

Highly recommended for families looking for a relaxing, beautiful and memorable island getaway!",2026-09,not_applicable,
Perhentian Island Resort,3.0,"Double feeling about our visit to the Perhentian Islands. Nature is overwhelmingly beautiful. The resort is nicely located in the Turtle bay. The amenities are basically all present at the resort.

However, the quality of the resort is moderate. Cabins are a bit outdated and we had several nights of cockroaches visiting. We stayed 5 nights, not once was the toilet and shower cleaned (we wipe daily cottage, make bed, add new towels and toilet rolls). Staff were moderately helpful with questions and the restaurant was reasonable in quality.

In a jungle hear animals and that with them, monkeys, geckos and squirrels walking around is nice. We enjoyed that.

You can also pay by credit card (at almost all restaurants on the island). Boat service to the other beaches or Kecil can be fast and easy (these do pay in cash). Tip: want to drink wine: Take these from the mainland.",2026-08,translated_argos,
Perhentian Island Resort,3.0,"- Room: fair.
- Cleanliness: fair.
- Comfort: fair.
- Location: spectacular.
- Price-quality: expensive.",2026-08,translated_manual,
Perhentian Island Resort,5.0,Show,2026-08,translated_argos,
Perhentian Island Resort,5.0,"Spectacular location, but lacking maintenance. The towels are more than an ugly color and everything is old.
As for the service, the staff couldn't be more serious/unfriendly. Only one waitress smiles at you.
As for alcohol, it's forbidden in the restaurant area, and to have a beer you have to go to the resort next door, about 15 minutes away.
What it does have is a spectacular beach, and as soon as you enter you find impressive marine diversity.",2026-08,translated_manual,
Perhentian Island Resort,3.0,Although the place is a little old and could improve the services I would return as this resort is located on the most beautiful beach on the island. In front of the bungalows there is a beautiful beach where you can make snorkling with shark turtles and races. The sunbeds are wooden so I recommend to take a mattress also inflatable to take on land firm because in the island they do not sell. You eat well à la carte instead the buffet leaves a little to want. Food prices are good compared to Italy. We spent at dinner about 10 euros per head. Cleanliness leaves a bit to be desired but just do it present and come to re clean. The Personal with us was available. I traveled with friends and my two-year-old son and I'd be back despite everything. The position is priceless.,2026-08,translated_argos,
