row_index,text
6,"- habitación justa.
- limpieza justa.
- comodidad justa.
- localización espectacular.
- precio - calidad - caro"
8,"Sitio con emplazamiento espectacular, pero falta de mantenimiento. Las toallas tienen un color mas que feo y todo está viejo.
En cuanto al servicio, mas serios/as no pueden ser. Tan solo una camarera te sonríe.
En cuanto al alcohol, está prohibido en la parte del restaurante y para tomarte una cerveza te tienes que ir al resort de al lado que está a unos 15 minutos.
Lo que si tiene, es una playa espectacular y nada mas entrar te encuentras una diversidad marina impresionante."
36,"El hotel está muy bien ubicado en una de las mejores playas. Ahora bien, por lo que pagas es muy caro, te dan toallas rotas y desgastadas, la limpieza en las habitaciones no existe, barren un poco y listo. Sobretodo si vais no miréis los rincones no por esquinas de la habitaciones. Da asco."
57,"La ubicación es espectacular, pero es lo único que se salva. El estado del resort y el nivel de mantenimiento son, sencillamente, inaceptables. Este es, de largo, el peor sitio donde me he alojado, y he viajado bastante.

Para empezar, la limpieza es totalmente inexistente. Durante toda la estancia (seis días) se limitaron a cambiar las toallas y a poner botellas de agua. No limpiaron la habitación ni el cuarto de baño, ni cambiaron las sábanas. Un día olvidaron reponer el papel higiénico (tuve que ir a pedirlo a recepción); otro, vaciar la papelera y un tercer día, directamente no pasaron a ""limpiar"" la habitación: tuvimos que reclamarlo también.

Las instalaciones están muy deterioradas. El mobiliario es viejo, desgastado y sucio, los cristales están llenos de suciedad, la ducha necesita una renovación urgente y varios elementos de la habitación no funcionan correctamente. Además, carece de lo más básico: no hay armario ni cajones donde guardar la ropa. Por otro lado, nos encontramos dos cucarachas en el cuarto de baño. Que esto ocurra en un alojamiento que cobra estos precios es sencillamente inaceptable.

Respecto a la comida del restaurante, es cara y de bajísima calidad. El desayuno, además de escaso, ofrece una variedad mínima y todos los productos están destapados, en un sitio donde moscas y mosquitos campan a sus anchas.

Es una pena que un lugar con una ubicación tan privilegiada esté tan mal gestionado. A mí no me quedó más remedio que hacer la reserva en este sitio porque, por circunstancias, miré los alojamientos tarde y solo quedaba una habitación en este. Por eso, recomiendo encarecidamente a quien tenga pensado pasar unos días en Perhentian que reserve con mucha antelación para que no le ocurra lo mismo que a nosotr@s. Sería una lástima que lo que puede ser una  experiencia inolvidable en unas playas paradisíacas se convierta en inolvidable por motivos muy distintos."
60,"Muy buen lugar , las habitacione muy cómodas , frente a la playa con todas las comodidades , buen restaurante, exelente desayuno"
65,Habitaciones un poco justas. Los insectos se cuelan por l noche por el desague de la ducha. Mejor no enciendas la luz por la noche en la habitacion.
77,Paradisiaque
90,Super resort
95,"Por favor, lean atentamente antes de venir:
Este hotel tiene una pésima calidad precio. Las habitaciones están viejas, sucias y con mal mantenimiento.
No están aisladas y pueden entrar todo tipo de insectos y reptiles.
Esta mañana nos hemos despertado con una plaga de termitas voladoras,  por lo menos había 100 en la habitación.  Y eso que mantenemos siempre las puertas cerradas y no hemos siquiera abierto la puerta del balcón en ninguna ocasión. Es más, le hemos puesto unas toallas para evitar que entren Insectos.
No hay limpieza de las habitaciones diaria, creo que solo pasan un poco la escoba por la entrada y te dan toallas ""limpias"".
No hay opciones para comer, ni una,  creanme, al menos si no quieres pillar una intoxicación. Solo puedes alimentarte de helados y Pringles,  que es lo que venden en la tienda.
El desayuno no es unicamente malo, sino que es perturbador de ver. Nauseabundo. Lleno de moscas  e insectos. No limpian las meses entre cliente y cliente, un kaos.
Los trabajadores no tienen pinta de estar felices, parece que les moleste que les pides algo... No les culpo, ellos están trabajando en un sitio en el que seguramente reciban muchas quejas y ellos no puedan hacer nada.

En resumen, reconsideren venir a este lugar. Quizá si le cambiasen El nombre a Nature Hotel Perhentian,  sería más apropiado, porque de Resort, no tiene nada."
123,Best room at island
